hour,weekday,service_avg_minutes,queue_length,counters_active,priority,wait_minutes
11,6,30,6,4,1,44
10,2,15,12,4,1,45
12,3,25,5,4,1,25
13,2,10,5,3,1,15
16,2,10,9,5,2,15
9,1,20,11,3,1,77
15,1,30,12,2,1,98
9,2,30,17,2,1,180
8,3,12,9,4,1,25
10,5,15,9,3,2,32
15,0,15,12,4,1,44
11,2,30,9,5,1,32
10,3,10,15,4,1,68
8,3,10,8,3,3,26
10,2,15,14,4,3,28
11,4,10,13,2,1,105
8,1,12,10,3,2,36
13,3,10,5,3,1,18
10,6,18,9,4,1,45
8,5,25,7,2,1,106
16,4,15,9,3,3,45
14,2,20,19,3,1,180
12,3,12,7,2,2,21
12,4,35,6,2,1,94
12,3,25,9,4,1,42
8,6,20,5,3,1,32
14,4,10,14,2,1,78
9,3,35,11,3,1,180
12,5,30,3,2,1,45
16,3,30,13,2,1,172
8,1,12,7,4,1,17
9,4,30,19,3,2,166
14,1,35,13,3,4,56
13,2,35,6,4,2,43
14,4,25,11,2,1,180
9,1,15,10,5,1,42
11,4,18,15,2,1,177
14,3,30,11,5,1,59
15,3,12,16,3,4,18
13,2,30,6,3,1,77
9,6,25,12,2,1,163
11,6,35,11,3,1,103
17,3,10,9,4,1,23
15,3,30,12,3,1,175
8,2,15,10,4,1,48
16,1,10,11,4,1,30
9,1,25,9,3,3,96
10,1,30,9,2,1,146
10,2,10,13,3,2,28
10,2,30,12,4,1,126
12,1,12,7,3,1,22
9,5,25,8,3,1,45
13,3,18,8,2,1,57
10,2,35,11,3,4,39
15,4,20,14,3,1,80
13,2,35,6,3,1,63
9,2,35,12,3,1,65
16,4,10,9,2,2,21
13,4,25,6,3,1,55
13,3,30,7,4,1,45
11,3,20,14,5,1,49
14,3,10,12,3,2,29
15,2,20,12,4,2,59
12,2,18,6,5,1,28
12,3,12,7,3,1,28
13,5,25,3,3,1,30
12,4,10,8,5,2,11
13,2,35,5,3,2,54
8,2,15,10,3,1,33
10,3,10,12,5,1,27
12,1,15,8,4,1,28
10,0,35,13,2,1,180
15,5,12,6,4,1,21
8,1,25,9,3,2,34
15,4,30,10,2,1,74
15,4,10,13,3,3,53
14,1,35,13,3,1,111
11,0,10,13,2,3,64
15,3,18,12,2,2,79
10,2,12,15,3,1,55
9,3,18,12,3,1,82
13,2,20,7,5,1,32
17,2,25,13,3,1,134
8,4,20,14,3,1,97
9,1,10,13,4,1,33
16,4,25,14,3,2,107
10,1,12,9,2,4,8
13,1,12,7,3,3,14
16,3,35,10,4,1,70
10,1,10,16,4,1,40
10,3,20,16,2,1,112
14,3,18,11,3,2,43
11,4,30,21,4,1,180
10,4,15,11,3,1,49
12,4,30,5,4,1,36
13,5,20,3,5,1,13
9,2,20,10,4,4,16
8,0,12,10,5,1,20
12,1,30,7,2,1,64
17,1,12,10,5,1,30
15,1,12,12,4,2,29
14,3,18,11,2,1,134
12,1,25,6,3,1,40
12,0,15,5,3,1,32
13,2,30,8,3,1,79
13,4,25,6,3,1,32
9,2,35,8,3,1,77
10,1,30,11,4,2,81
15,2,25,14,2,1,120
14,4,12,14,2,1,84
12,5,20,4,3,4,4
14,3,18,16,5,1,110
10,6,15,8,3,4,17
11,4,25,10,3,1,62
